url,name,ticker,address,sector,price,trend,month_return,month_return_pct,Company Type,Listing Status,Industry Sector,Investment Sector,Ticker,Exchange,Previous Day Close,Current Day High & Low,Day's Volume,30 Day Average Volume,52 Week High & Low,Market Cap,Prev. Quarter Dividend,Yield,Prev. Quarter FFO
https://www.reit.com/investing/reit-directory/kimco-realty-corporation,Kimco Realty Corporation,KIM,"New Hyde Park, New York",Retail,$17.23,up,2.15,0.14%,REIT,Public,Retail,Equity,KIM,"New York Stock Exchange, Inc. (NYSE)",$17.07,$17.11 - $16.79,"6,396,502","3,854,330",$21.02 - $13.24,$7.26 bil,$0.28,6.56,$822.36 mil
https://www.reit.com/investing/reit-directory/hcp-inc,"HCP, Inc.",HCP,"Irvine, California",Health care,$30.87,up,3.43,0.13%,REIT,Public,Health care,Equity,HCP,"New York Stock Exchange, Inc. (NYSE)",$30.23,$30.14 - $29.68,"3,379,828","4,183,400",$32.75 - $21.64,$14.51 bil,$0.37,4.90,$904.03 mil
https://www.reit.com/investing/reit-directory/ryman-hospitality-properties-inc,"Ryman Hospitality Properties, Inc.",RHP,"Nashville, Tennessee",Lodging / Resorts,N/A,up,3.32,0.05%,REIT,Public,Lodging/Resorts,Equity,RHP,"New York Stock Exchange, Inc. (NYSE)",$75.31,$75.48 - $73.23,"182,697","280,865",$89.42 - $58.06,$0.00,$0.85,4.51,$283.76 mil
https://www.reit.com/investing/reit-directory/brandywine-realty-trust,Brandywine Realty Trust,BDN,"Philadelphia, Pennsylvania",Office,$14.85,up,0.06,0.00%,REIT,Public,Office,Equity,BDN,"New York Stock Exchange, Inc. (NYSE)",$14.36,$14.28 - $13.92,"2,254,245","1,375,419",$18.58 - $13.96,$2.65 bil,$0.18,5.29,$204.53 mil
https://www.reit.com/investing/reit-directory/national-storage-affiliates,National Storage Affiliates,NSA,"Greenwood Village, Colorado",Self-storage,$29.55,up,3.28,0.12%,REIT,Public,Self-storage,Equity,NSA,"New York Stock Exchange, Inc. (NYSE)",$29.63,$29.64 - $29.26,"467,354","377,418",$31.99 - $21.24,$1.67 bil,$0.29,4.05,$127.45 mil
https://www.reit.com/investing/reit-directory/arbor-realty-trust-inc,"Arbor Realty Trust, Inc.",ABR,"Uniondale, New York",Mortgage,$12.00,up,0.06,0.01%,REIT,Public,Mortgage,Mortgage,ABR,"New York Stock Exchange, Inc. (NYSE)",$11.81,$11.92 - $11.80,"1,734,190","1,384,068",$12.66 - $7.93,$1.02 bil,$0.27,9.14,$460.01 mil
https://www.reit.com/investing/reit-directory/american-campus-communities-inc,"American Campus Communities, Inc.",ACC,"Austin, Texas",Residential,$47.00,up,3.26,0.08%,REIT,Public,Residential,Equity,ACC,"New York Stock Exchange, Inc. (NYSE)",$43.76,$44.02 - $43.12,"821,484","724,604",$49.00 - $34.80,$6.44 bil,$0.46,4.20,$333.41 mil
https://www.reit.com/investing/reit-directory/cim-commercial-trust-corp,CIM Commercial Trust Corp,CMCT,"Dallas, Texas",Office,$17.28,up,0.05,0.00%,REIT,Public,Office,Equity,CMCT,NASDAQ (NASDAQ),$17.05,$17.17 - $17.03,"2,111","4,100",$20.15 - $12.00,$756.78 mil,$0.13,2.93,$47.88 mil
https://www.reit.com/investing/reit-directory/boston-properties-inc,"Boston Properties, Inc.",BXP,"Boston, Massachusetts",Office,$129.12,up,16.94,0.15%,REIT,Public,Office,Equity,BXP,"New York Stock Exchange, Inc. (NYSE)",$132.48,$132.31 - $128.57,"1,189,071","838,477",$132.48 - $112.09,$19.94 bil,$0.95,2.87,"$1,203.13 mil"
https://www.reit.com/investing/reit-directory/agnc-investment-corp,AGNC Investment Corp.,AGNC,"Bethesda, Maryland",Mortgage,$17.87,up,0.01,0.00%,REIT,Public,Mortgage,Mortgage,AGNC,NASDAQ (NASDAQ),$17.85,$17.88 - $17.74,"5,966,455","8,760,989",$21.85 - $17.37,$9.43 bil,,12.10,"$1,097.00 mil"
