url,name,ticker,address,sector,price,trend,month_return,month_return_pct
https://www.reit.com/investing/reit-directory/apollo-commercial-re-finance-inc,"Apollo Commercial RE Finance, Inc.",ARI,"New York, New York",Mortgage,$19.11,up,0.40,0.02%
https://www.reit.com/investing/reit-directory/paramount-group-inc,"Paramount Group, Inc.",PGRE,"New York, New York",Office,$14.33,up,0.37,0.03%
https://www.reit.com/investing/reit-directory/vici-properties-inc,"VICI Properties, Inc.",VICI,"Las Vegas, Nevada",Specialty,$24.00,up,0.37,0.02%
https://www.reit.com/investing/reit-directory/infrareit-inc,"InfraREIT, Inc.",HIFR,"Dallas, Texas",Infrastructure,N/A,up,0.32,0.02%
https://www.reit.com/investing/reit-directory/easterly-government-properties,Easterly Government Properties,DEA,"Washington, District of Columbia",Office,$20.17,up,0.31,0.02%
https://www.reit.com/investing/reit-directory/consolidated-tomoka-land,Consolidated-Tomoka Land,CTO,"Daytona Beach, Florida",Retail,N/A,up,0.30,0.01%
https://www.reit.com/investing/reit-directory/global-medical-reit,Global Medical REIT,GMRE,"Bethesda, Maryland",Health care,N/A,up,0.78,0.09%
https://www.reit.com/investing/reit-directory/empire-state-realty-trust,Empire State Realty Trust,ESRT,"New York, New York",Office,$16.88,up,0.78,0.05%
https://www.reit.com/investing/reit-directory/invesco-mortgage-capital-inc,Invesco Mortgage Capital Inc.,IVR,"Atlanta, Georgia",Mortgage,$16.10,up,0.76,0.05%
https://www.reit.com/investing/reit-directory/bluerock-residential-growth-reit-inc,"Bluerock Residential Growth REIT, Inc.",BRG,"New York, New York",Residential,$9.55,up,0.68,0.07%
https://www.reit.com/investing/reit-directory/hospitality-properties-trust,Hospitality Properties Trust,HPT,"Newton, Massachusetts",Lodging / Resorts,$27.08,up,0.64,0.02%
https://www.reit.com/investing/reit-directory/kilroy-realty-corporation,Kilroy Realty Corporation,KRC,"Los Angeles, California",Office,$73.75,up,0.63,0.01%
https://www.reit.com/investing/reit-directory/gladstone-commercial-corporation,Gladstone Commercial Corporation,GOOD,"McLean, Virginia",Diversified,$20.15,up,0.63,0.03%
https://www.reit.com/investing/reit-directory/xenia-hotels-resorts-inc,"Xenia Hotels & Resorts, Inc.",XHR,"Orlando, Florida",Lodging / Resorts,$23.82,up,0.60,0.03%
https://www.reit.com/investing/reit-directory/tpg-re-finance-trust-inc,"TPG RE Finance Trust, Inc.",TRTX,"New York, New York",Mortgage,$20.60,,-0.17,-0.01%
https://www.reit.com/investing/reit-directory/industrial-logistics-properties-trust,Industrial Logistics Properties Trust,ILPT,"Newton, Massachusetts",Industrial,N/A,,-0.25,-0.01%
https://www.reit.com/investing/reit-directory/ashford-hospitality-trust,Ashford Hospitality Trust,AHT,"Dallas, Texas",Lodging / Resorts,$4.96,,-0.28,-0.05%
https://www.reit.com/investing/reit-directory/front-yard-residential-corporation,Front Yard Residential Corporation,RESI,"Christiansted, Virgin Islands",Residential,$10.00,,-0.34,-0.03%
https://www.reit.com/investing/reit-directory/american-finance-trust-inc,American Finance Trust Inc.,AFIN,"New York, New York",Retail,$13.49,,-0.41,-0.03%
https://www.reit.com/investing/reit-directory/gazit-globe,Gazit Globe,GZT,"Miami, Florida",Diversified,$7.85,,-0.43,-0.05%
https://www.reit.com/investing/reit-directory/new-senior-investment-group,New Senior Investment Group,SNR,"New York, New York",Health care,$5.30,,-0.60,-0.10%
https://www.reit.com/investing/reit-directory/new-residential-investment-corporation,New Residential Investment Corporation,NRZ,"New York, New York",Mortgage,$17.45,,-0.63,-0.04%
https://www.reit.com/investing/reit-directory/tremont-mortgage-trust,Tremont Mortgage Trust,TRMT,"Newton, Massachusetts",Mortgage,$12.13,,-1.44,-0.12%
https://www.reit.com/investing/reit-directory/monmouth-real-estate-investment-corporation,Monmouth Real Estate Investment Corporation,MNR,"Freehold, New Jersey",Industrial,$14.68,,-1.46,-0.09%
https://www.reit.com/investing/reit-directory/medequities-realty-trust-inc,"MedEquities Realty Trust, Inc.",MRT,"Nashville, Tennessee",Health care,N/A,,-1.51,-0.18%
https://www.reit.com/investing/reit-directory/plymouth-industrial-reit-inc,"Plymouth Industrial REIT, Inc.",PLYM,"Boston, Massachusetts",Industrial,$16.15,,-1.61,-0.12%
https://www.reit.com/investing/reit-directory/corecivic,CoreCivic,CXW,"Nashville, Tennessee",Specialty,$23.00,,-1.67,-0.07%
https://www.reit.com/investing/reit-directory/weyerhaeuser,Weyerhaeuser,WY,"Seattle, Washington",Timberlands,$25.48,,-1.74,-0.06%
https://www.reit.com/investing/reit-directory/washington-reit,Washington REIT,WRE,"Washington, District of Columbia",Diversified,$29.08,,-2.17,-0.07%
https://www.reit.com/investing/reit-directory/sabra-health-care-reit-inc,"Sabra Health Care REIT, Inc.",SBRA,"Irvine, California",Health care,$21.47,,-2.27,-0.10%
https://www.reit.com/investing/reit-directory/farmland-partners-inc,Farmland Partners Inc.,FPI,"Denver, Colorado",Specialty,$6.20,,-0.86,-0.13%
https://www.reit.com/investing/reit-directory/catchmark-timber-trust-inc,"CatchMark Timber Trust, Inc.",CTT,"Atlanta, Georgia",Timberlands,$8.35,,-0.89,-0.10%
https://www.reit.com/investing/reit-directory/preferred-apartment-communities-inc,"Preferred Apartment Communities, Inc",APTS,"Atlanta, Georgia",Residential,$18.00,,-0.90,-0.06%
https://www.reit.com/investing/reit-directory/pennsylvania-real-estate-investment-trust,Pennsylvania Real Estate Investment Trust,PEI,"Philadelphia, Pennsylvania",Retail,$8.60,,-0.98,-0.11%
https://www.reit.com/investing/reit-directory/condor-hospitality-trust-inc,"Condor Hospitality Trust, Inc.",CDOR,"Bethesda, Maryland",Lodging / Resorts,$10.02,,-1.23,-0.12%
